fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"234",R,"5",,DES ESCHOLIERS,R DES ESCHOLIERS,,,,,,,,,,,,,,
"235",AV,"5",,DE LA VILLEGIATURE,AV DE LA VILLEGIATURE,,,,,,,,,,,,,,
"237",R,"5",,EUGENE MASSON,R EUGENE MASSON,,,,,,,,,,,,,,
"238",R,"5",,SAINT-LOUIS,R SAINT-LOUIS,,,,,,,,,,,,,,
"239",ALL,"5",,VOLTAIRE,ALL VOLTAIRE,,,,,,,,,,,,,,
"241",R,"6",,ERIC TABARLY,R ERIC TABARLY,,,,,,,,,,,,,,
"242",R,"5",,HENRI ROL TANGUY,R HENRI ROL TANGUY,privé,,,,,,,,,,,,,
"244",R,"4",,HELENE BOUCHER,R HELENE BOUCHER,privé,,,,,,,,,,,,,
"248",R,"5",,LUCIE AUBRAC,R LUCIE AUBRAC,privé,,,,,,,,,,,,,
"249",PL,"5",,DE LA GARE,PL DE LA GARE,,,,,,,,,,,,,,
"250","7","6",ALL MILLET,"7","7",privé,,,,,,,,,,,,,
"251",AV,"5",,CLARA GRANDET,AV CLARA GRANDET,,,,,,,,,,,,,,
"252",R,"5",,GUY DE MAUPASSANT,R GUY DE MAUPASSANT,,,,,,,,,,,,,,
"253",ALL,"5",,SIMON BOLIVAR,ALL SIMON BOLIVAR,,,,,,,,,,,,,,
"254",R,"5",,DE LA BUTTE,R DE LA BUTTE,,,,,,,,,,,,,,
"256",ALL,"5",,DES DAHLIAS,ALL DES DAHLIAS,privé,,,,,,,,,,,,,
"257",IMP,"5",,DE LA LIBERTE,IMP DE LA LIBERTE,,,,,,,,,,,,,,
"258",VLA,"5",,DU BREUIL,VLA DU BREUIL,privé,,,,,,,,,,,,,
"259",AV,"5",,DE LA PARISIENNE,AV DE LA PARISIENNE,,,,,,,,,,,,,,
"260",ALL,"5",,DES PRIMEVERES,ALL DES PRIMEVERES,privé,,,,,,,,,,,,,
"261",ALL,"5",,MARIE LAURENCIN,ALL MARIE LAURENCIN,privé,,,,,,,,,,,,,
"262",CH,"4",,DU PONT,CH DU PONT,,,,,,,,,,,,,,
"263",RPT,"4",,DU VERGER,RPT DU VERGER,,,,,,,,,,,,,,
"264",R,"5",,DE L'ABBE MAURICE BAURIT,R DE L'ABBE MAURICE BAURIT,privé,,,,,,,,,,,,,
